🗣️🌍	Part of Speech	English									简体中文									繁體中文									हिंदी									Русский									Português									Deutsch								
⬇️	noun	anpa	Acadian French en bas ‘below’	bottom		bottom, lower part, bottom direction					anpa	Acadian French en bas ‘below’	底部		底部、下部、底部方向					anpa	Acadian French en bas ‘below’	底部		底部、下部、底部方向					आंपा	अकाडियन फ्रेंच en bas अन बास ‘के नीचे’	नीचे		नीचे, निचली दिशा, निचला हिस्सा					анпа	Французский акадский en bas ‘ниже’	низ		низ, вниз, нижняя часть					anpa	Francês acadiano en bas ‘abaixo’	fundo		fundo, parte inferior, direção inferior					anpa	Akadisches Französisch en bas ‘unter’	unterer Teil		unten, unterer Teil, nach unten				
🔀	modifier	ante	Dutch ander ‘other, different’	different			different, altered, changed, other				ante	Dutch ander ‘other, different’	不同的			不同的、改变的、更换的、其他的				ante	Dutch ander ‘other, different’	不同的			不同的、改變的、更換的、其他的				आंते	डच ander आंदर ‘अलग’	अलग			अलग, बदला हुआ, दूसरा				антэ	Датский ander ‘другой, различный’	другой			другой, различный, измененный, отличающийся				ante	Neerlandês ander ‘outro, diferente’	diferente			diferente, alterado, mudado, outro				ante	Niederländisch ander ‘anders’	anders			anders, verändert, unterschiedlich			
☯️	particle	anu	Georgian ან an ‘or’	or				or			anu	Georgian ან an ‘or’	或				或、或者			anu	Georgian ან an ‘or’	或				或、或者			आनू	जोर्जियन ან आन ‘यां’	यां				यां, अथवा			ану	Грузинский ან an ‘или’	или				или			anu	Georgiano ან an ‘ou’	ou				ou			anu	Georgisch ან an ‘oder’	oder				oder		
😔	modifier	apeja	Finnish häpeä ‘shame, disgrace, dishonor’	ashamed			ashamed, disgraced, dishonored, guilty				apeja	Finnish häpeä ‘shame, disgrace, dishonor’	羞愧的			羞愧的、羞耻的、耻辱的、内疚的				apeja	Finnish häpeä ‘shame, disgrace, dishonor’	羞愧的			羞愧的、羞恥的、恥辱的、內疚的				आपेया	फ़िन्निश häpeä हापिआ ‘शर्म, बेइज़्ज़ती’	शर्मिंदा			शर्मिंदा, बेइज़्ज़त, दोशी				апея	Финский häpeä ‘стыд, позор, бесчестье’	стыд	стыдиться	стыд	позорный, виноватый, стыдно				apeja	Finlandês häpeä ‘vergonha, desgraça, desonra’	envergonhado			envergonhado, desgraçado, desonrado, culpado				apeja	Finnisch häpeä ‘Schande, Schmach’	beschämt			beschämt, entehrt, schandhaft, schuldig			
👑	modifier	atali	Gujarati આદર ādar 'respect, honor, admiration'	respectful			respectful, honoring, admiring				atali	Gujarati આદર ādar 'respect, honor, admiration'	尊敬的			尊敬的、尊贵的、钦佩的				atali	Gujarati આદર ādar 'respect, honor, admiration'	尊敬的			尊敬的、尊貴的、欽佩的				आताली	गुजराती આદર आदर 'आदर'	आदर			आदर करता, इज़्ज़त करता				атали	Гуджарати આદર ādar 'уважение, честь, восхищение'	вежливый			вежливый, почтительный, преклоняющийся				atali	Guzerate આદર ādar 'respeito, honra, admiração'	respeitoso			respeitoso, honroso, admirador				atali	Gujarati આદર ādar 'Respekt, Ehre, Bewunderung'	respectful			respectful, honoring, admiring			
🚗	verb	ato	German auto 'car'	drive	to drive	vehicle					ato	German auto 'car'	驾驶	驾驶、骑	车辆、交通工具					ato	German auto 'car'	駕駛	駕駛、騎	車輛、交通工具					आतो	जर्मन auto आउटो 'गाड़ी'	(वाहन) चलाना	(वाहन) चलाना	वाहन, गाड़ी					ато	Немецкий auto 'автомобиль'	авто	везти, управлять	автомобиль, машина					ato	Alemão auto 'carro'	dirigir	dirigir	veículo					ato	Deutsch Auto	fahren	fahren	Fahrzeug				
⚓	modifier	awen	Dutch houden ‘keep, care for, hold (in a particular state)’	staying			staying, remaining, stationary, permanent, sedentary				awen	Dutch houden ‘keep, care for, hold (in a particular state)’	保持的			停留的、保持的、静止的、永久的				awen	Dutch houden ‘keep, care for, hold (in a particular state)’	保持的			停留的、保持的、靜止的、永久的				आवें	डच houden होउदेन ‘रखना’	रहता			रहता हुआ, स्थिर, हिलने न वाला, स्थायी				авен	Датский houden ‘сохранять, заботиться, держать (в определенном состоянии)’	стоять	стоять		постоянный, стационарный, пребывающий, остающийся, сохраняющий состояние				awen	Neerlandês houden ‘manter, cuidar de, segurar (em um estado em particular)’	fixo			fixo, restante, estacionário, permanente, sedentário				awen	Niederländisch houden ‘halten’	bleibend			bleibend, verbleibend, stationär, ständig, sesshaft			
🔲	irregular	awo	Yoruba awọ 'skin'	skin	touch, contact	skin, outer edge	genitive				awo	Yoruba awọ 'skin'	皮肤	触摸、接触	皮肤、外缘	皮肤的（属格）				awo	Yoruba awọ 'skin'	皮膚	觸摸、接觸	皮膚、外緣	皮膚的（屬格）				आवो	योरुबा awọ आओ 'त्वचा'	त्वचा	छूना	त्वचा, छमड़ी, खाल, छिलका	त्वचा का				аво	Йоруба awọ 'кожа'	оболочка	трогать, касаться, контактировать	кожа, шкура, оболочка, покрытие	поверхностный				awo	Iorubá awọ 'pele'	pele	tocar, fazer contato	pele, borda externa	genitivo				awo	Yoruba awọ 'Haut'	Haut	berühren	Haut, Außenseite/-kante	Genitiv			
⏩	preposition	e	A priori word	[object]					before the direct object		e	A priori word	[宾语]					（在直接宾语之前）		e	A priori word	[賓語]					（在直接賓語之前）		ए	प्राथमिक शब्द	[वस्तु]					वस्तु (व्याकरण) के पहले आने वाला प्रतीक		э	Априорное слово	[объект]				перед прямым объектом			e	Palavra a priori	[objeto]					antes do objeto direto		e	A priori Wort	[Objekt]					vor dem Objekt	
➕	particle	en	Dutch en ‘and’	[and]				between multiple subjects, between coordinate modifiers in a pi-phrase			en	Dutch en ‘and’	[和]				（在多个主语之间、在 pi 短语中的配套修饰符之间）			en	Dutch en ‘and’	[和]				（在多個主語之間、在 pi 短語中的配套修飾符之間）			एं	डच en एन ‘और’	और				दो विषय संज्ञा के बीच में, दो "पी" व्याक्यांशें के बीच, और			эн	Датский en ‘и’	и				между несколькими субъектами, между модификаторами в pi-фразе			en	Neerlandês en ‘e’	[e]				entre múltiplos sujeitos, entre modificadores coordenados em uma frase pi			en	Niederländisch en ‘und’	[und]				zwischen mehreren Subjekten, zwischen Modifizierern in einer pi-Wendung		
🥱	modifier	enujo	French ennuyeuse 'boring, annoying, tedious, dull'	bored			bored, annoyed, dull				enujo	French ennuyeuse 'boring, annoying, tedious, dull'	无聊的			无聊的、烦躁的、无聊的				enujo	French ennuyeuse 'boring, annoying, tedious, dull'	無聊的			無聊的、煩躁的				एनूयो	फ्रेंच ennuyeuse एनुयोसो 'ऊबाऊ, पकाऊ, बोरिंग'	ऊबा			ऊबा हुआ, बोर हो चुका				энуё	Французский ennuyeuse 'скучный, надоедливый, утомительный'	скучный			скучный, раздраженный, унылый, тупой				enujo	Francês ennuyeuse 'entediante, irritante, tediosa, chata'	entediado			entediado, irritado				enujo	Französisch ennuyeuse 'langweilig, genervt, ermüdend, stumpf'	gelangweilt			gelangweilt, genervt, ermüdend			
🐋	modifier	epi	English heavy	heavy			heavy, thick, fat				epi	English heavy	沉重的			沉重的、厚的、肥的、结实的				epi	English heavy	沉重的			沉重的、厚的、肥的、結實的				एपी	अंग्रेज़ी heavy हेवी 'भारी'	भारी			भारी, मोटा, जाड़ा, गाड़ा				эпи	Английский heavy 'тяжелый'	тяжелый			крепкий, сильный, тяжелый, твердый				epi	Inglês heavy 'pesado'	pesado			pesado, grosso, gordo				epi	Englisch schwer	schwer			schwer, dick, fett			
🛒	noun	esun	Asante egŭaso, 'market, bazaar'	shop		market, shop, fair, bazaar, finance					esun	Asante egŭaso, 'market, bazaar'	市场		市场、商店、集市、金融					esun	Asante egŭaso, 'market, bazaar'	市場		市場、商店、集市、金融					एसूं	असांते egŭaso एग्वासो, 'बज़ार'	बाज़ार		बाज़ार, दुकान, मेला, वित्त					эсун	Асанте egŭaso, 'рынок, базар'	магазин		магазин, рынок, ярмарка, базар, биржа, финансы					esun	Axante egŭaso, 'mercado, bazar'	loja		mercado, loja, feira, bazar, finança					esun	Aschanti-Twi, egŭaso, 'Markt, Basar'	Geschäft		Markt, Geschäft, Basar, Finanzen				
💅	irregular	ewin	Gaelic ewin 'clove, fingernail, prong, claw'	nail	scratch	nail, hoof, claw, fingernail, prong, talon, horn	genitive				ewin	Gaelic ewin 'clove, fingernail, prong, claw'	指甲	刮、抓	指甲、蹄子、爪子、钉子、节段、角	指甲的（属格）				ewin	Gaelic ewin 'clove, fingernail, prong, claw'	指甲	刮、抓	指甲、蹄子、爪子、釘子、節段、角	指甲的（屬格）				एवीं	गेलीक ewin एवीन 'नाखून'	नाखून	खरोचना, नाखून मारना	नाखून, खुर, सींग	नाखून का				эвин	Гальский ewin 'ноготь, зубец, коготь'	ноготь	царапать	ноготь, копыто, коготь, зубец, сегмент, рог					ewin	Gaélico ewin 'bulbo, unha, ponta, garra'	unha	arranhar	unha, casco, garra, chifre	genitivo				ewin	Gälisch ewin 'Fingernagel, Zehnagel, Klaue'	Nagel	kratzen	Nagel, Huf, Klaue, Fingernagel, Zehnagel, Kralle, Horn	Genitiv			
👎	modifier	ike	Finnish ilkeä ‘bad, mean, wicked’	bad			bad				ike	Finnish ilkeä ‘bad, mean, wicked’	坏的			坏的				ike	Finnish ilkeä ‘bad, mean, wicked’	壞的			壞的				ईके	फ़िन्निश ilkeä इल्केआ ‘बुरा, दुष्ट’	बुरा			बुरा, गंदा				икэ	Финский ilkeä ‘плохой, злой’	плохой		зло	плохой				ike	Finlandês ilkeä ‘mau’	mau			mau				ike	Finnisch ilkeä ‘bad, mean, wicked’	bad			schlecht			
⚙️	verb	ilo	Esperanto ilo ‘tool’, from German -el ‘(agent suffix)’ {cf Schlüssel ‘key’ ~ schließen ‘lock, shut’)	use	to use	tool					ilo	Esperanto ilo ‘tool’, from German -el ‘(agent suffix)’ {cf Schlüssel ‘key’ ~ schließen ‘lock, shut’)	使用	使用	工具					ilo	Esperanto ilo ‘tool’, from German -el ‘(agent suffix)’ {cf Schlüssel ‘key’ ~ schließen ‘lock, shut’)	使用	使用	工具					ईलो	एस्पेरांटो ilo ईलो ‘औज़ार’, जिसका मूल है जर्मन -el -एल ‘(निर्माता प्रतीक)’	इस्तेमाल	इस्तेमाल करना, यूज़ करना	औज़ार					ило	Эсперанто ilo ‘инструмент’, с немецкого -el ‘(агентский суффикс)’ {cf Schlüssel ‘ключ’ ~ schließen ‘замок, закрыть’)	инструмент	использовать	инструмент, прибор, устройство					ilo	Esperanto ilo ‘ferramenta’, do alemão -el ‘(sufixo agentivo)’ {cf Schlüssel ‘chave’ ~ schließen ‘trancar’)	usar	usar	ferramenta					ilo	Esperanto ilo ‘tool’, from Deutsch -el ‘(agent suffix)’ {cf Schlüssel ‘key’ ~ schließen ‘lock, shut’)	use	benutzen	Werkzeug				
🧑‍🤝‍🧑	verb	iman	Arabic إِيمَان ʾīmān 'belief'	trust	to believe, to trust	faith, belief					iman	Arabic إِيمَان ʾīmān 'belief'	相信	相信、信任	信仰、信念					iman	Arabic إِيمَان ʾīmān 'belief'	相信	相信、信任	信仰、信念					ईमां	अरबी إِيمَان ईमान 'धारणा, आस्था'	भरोसा	भरोसा करना, मानना	धारणा, आस्था, माने जाने वाली बात					иман	Арабский إِيمَان ʾīmān 'вера'	доверие	верить, надеяться, доверять	вера, надежда, доверие					iman	Árabe إِيمَان ʾīmān 'credo'	confiança	crer, confiar	fé, crença					iman	Arabisch إِيمَان ʾīmān 'Glaube'	vertrauen	vertrauen, glauben	Glaube, Vertrauen				
📌	verb	inkatan	Malay ingatan 'memory'	remember	to remember	memory					inkatan	Malay ingatan 'memory'	记住	记住	记忆					inkatan	Malay ingatan 'memory'	記住	記住	記憶					ईंकातां	मलय ingatan इंगातान 'याद'	याद	याद करना	याद					инкатан	Малайский ingatan 'память'	память	помнить	память					inkatan	Malaio ingatan 'memória'	lembrar	lembrar	memória					inkatan	Malay ingatan 'memory'	erinnern	erinnern	Erinnerung				
🌼	noun	inpali	Zulu ímbali 'flower, blossom'	flower		flower, blossom					inpali	Zulu ímbali 'flower, blossom'	花朵		花、花朵					inpali	Zulu ímbali 'flower, blossom'	花朵		花、花朵					ईंपाली	ज़ुलु ímbali इंबाली 'फूल'	फूल		फूल					инпали	Зулу ímbali 'цветок, цвести'	цветок	цвести	цветок, цветение	цветущий				inpali	Zulu ímbali 'flor'	flor		flor					inpali	Zulu ímbali 'flower, blossom'	Blume		Blume, Blüte				
⏺️	noun	insa	Tok Pisin insait ‘inside, center, stomach’, from English inside	inside		center, content, middle, inside					insa	Tok Pisin insait ‘inside, center, stomach’, from English inside	中间		中心、内容、中间、内部					insa	Tok Pisin insait ‘inside, center, stomach’, from English inside	中間		中心、內容、中間、內部					ईंसा	टोक पिसिन insait इंसाइत ‘अंदर, बीच, पेट’, जिसका मूल है अंग्रेज़ी inside इंसाइड 'अंदर'	अंदर		बीच, अंदर, भीतर					инса	Ток-писин insait ‘внутри, центр, живот’, с английского inside ‘внутри’	внутри		центр, содержание, живот, середина	внутрунний				insa	Tok Pisin insait ‘interior, centro, estômago’, do inglês inside 'dentro de'	interior		centro, conteúdo, meio, interior					insa	Tok Pisin insait ‘Inneres, Zentrum, Bauch’, aus dem Englischen inside	Inneres		Zentrum, Inhalt, Mitte, Inneres				
⌚	modifier	intisa	Arabic اِنْتِظَار intiẓār 'wait'	waiting			waiting, patient				intisa	Arabic اِنْتِظَار intiẓār 'wait'	等待的			等待的、耐心的				intisa	Arabic اِنْتِظَار intiẓār 'wait'	等待的			等待的、耐心的				ईंतीसा	अरबी اِنْتِظَار इंतिज़ार 'इंतज़ार'	इंतज़ार			रुकता, ठहरता, इंतज़ार करता, सब्र करता				интиса	Арабский اِنْتِظَار intiẓār 'ждать'	ждать	ждать	пациент, очередь	ожидающий				intisa	Árabe اِنْتِظَار intiẓār 'esperar'	em espera			em espera, paciente				intisa	Arabisch اِنْتِظَار intiẓār 'warten'	wartend			wartend, geduldig			
🏝️	noun	into	Zulu indawo 'place, zone, area'	place		place, space, zone, room, area, region					into	Zulu indawo 'place, zone, area'	地方		地方、空间、点、区域、房间、地域					into	Zulu indawo 'place, zone, area'	地方		地方、空間、點、區域、房間、地域					ईंतो	ज़ुलु indawo इंदावो 'जगह, इलाका'	जगह		जगह, स्थान, इलाका					инто	Зулу indawo 'место, зона, площадь'	место		место, пространство, зона, комната, площадь, регион					into	Zulu indawo 'lugar, zona, área'	lugar		lugar, espaço, zona, sala, área, região					into	Zulu indawo 'Platz, Zone, Gebiet'	Platz		Ort, Raum, Zone,, Bereich, Region, Gebiet				
⏯️	modifier	iputu	Telugu ఇప్పుడు ippuḍu 'now'	current			current, in the present				iputu	Telugu ఇప్పుడు ippuḍu 'now'	现在的			当前的、现在的				iputu	Telugu ఇప్పుడు ippuḍu 'now'	現在的			當前的、現在的				ईपूतू	तेलुगु ఇప్పుడు इपुडु 'अब'	मौजूदा			मौजूदा, अब, वर्तमान में				ипуту	Телугу ఇప్పుడు ippuḍu 'сейчас'	сейчас			текущий, в настоящее время				iputu	Telugu ఇప్పుడు ippuḍu 'agora'	atual			atual, no presente				iputu	Telugu ఇప్పుడు ippuḍu 'jetzt'	gerade			gerade, jetzt, in der Gegenwart			
💢	modifier	isala	Zulu icala 'wrong'	wrong			incorrect, unfair, wrong, unjust				isala	Zulu icala 'wrong'	错误的			不正确的、不公平的、错误的、不公正的				isala	Zulu icala 'wrong'	錯誤的			不正確的、不公平的、錯誤的、不公正的				ईसाला	जुलु icala इचाला 'ग़लत, अनुचित'	ग़लत			ग़लत, अन्याय, नाइंसाफ़ी				исала	Зулу icala 'ложный'	ложный	лгать	ложь	ложный, несправедливый, неправильный, некорректный				isala	Zulu icala 'errado'	errado			incorreto, injusto, errado				isala	Zulu icala 'falsch'	falsch			falsch, ungerecht, inkorrekt			
🔽	particle	ita	Arabic إذا ʾiḏā 'if'	[context]				inverse la (between the main sentence and the context phrase)			ita	Arabic إذا ʾiḏā 'if'	[语境]				（在主句和上下文短语之间）			ita	Arabic إذا ʾiḏā 'if'	[語境]				（在主句和上下文短語之間）			ईता	अरबी إذا इज़ा 'अगर, यदि'	[संदर्भ]				"ला" के विप्रीत, मुख्य वाक्य और संदर्भ वाक्यांग के बीच			ита	Арабский إذا ʾiḏā 'если'	[контекст]				инверсия la (между основным предложением и контекстной фразой)			ita	Árabe إذا ʾiḏā 'se'	[contexto]				la inverso (entre a frase principal e a oração de contexto)			ita	Arabisch إذا ʾiḏā 'falls'	[Kontext]				umgekehrtes la (zwischen Hauptsatz und Kontextsatz)		
💩	modifier	jaki	English yucky	dirty			disgusting, obscene, sickly, toxic, unclean, unsanitary				jaki	English yucky	肮脏的			肮脏的、恶心的、淫秽的、病态的、有毒的、不洁的、不卫生的				jaki	English yucky	骯髒的			骯髒的、噁心的、淫穢的、病態的、有毒的、不潔的、不衛生的				याकी	अंग्रेज़ी yucky यकी 'भद्दा'	भद्दा			भद्दा, गंदा, मैला, अश्लील				яки	Английский yucky 'противный'	грязный			отвратительный, непристойный, болезненный, токсичный, нечистый				jaki	Inglês yucky 'nojento'	sujo			nojento, obsceno, doentio, tóxico, imundo, insalubre				jaki	Englisch yucky 'eklig'	dreckig			dreckig, ekelhaft, obszön, kränklich, giftig, unrein, unhygienisch			
📊	noun	jala	Arabic حالة ḥāl 'state, condition'	condition		state, condition					jala	Arabic حالة ḥāl 'state, condition'	条件		状态、条件、情况					jala	Arabic حالة ḥāl 'state, condition'	條件		狀態、條件、情況					याला	अरबी حالة हाल 'हाल'	हाल		हाल, स्थिति					яла	Арабский حالة ḥāl 'состояние, условия'	состояние		состояние, условия, положение					jala	Árabe حالة ḥāl 'estado, condição'	condição		estado, condição					jala	Arabisch حالة ḥāl 'Zustand'	Zustand		Zustand				
👤	noun	jan	Cantonese 人 jan4 ‘person’	person		human being, person, somebody					jan	Cantonese 人 jan4 ‘person’	人		人、人类、某人					jan	Cantonese 人 jan4 ‘person’	人		人、人類、某人					यां	कैंटोनी 人 जान ‘इंसान’	इंसान		इंसान, व्यक्ति, मनुष्य					ян	Китайский кантонский 人 jan4 ‘персона, человек’	человек		человек, персона, некто, кто-то					jan	Cantonês 人 jan4 ‘pessoa’	pessoa		ser humano, pessoa, alguém					jan	Kantonesisch 人 jan4 ‘Person’	Person		Mensch, Person, jemand				
🦖	noun	janwa	Hindi जानवर jānwar 'animal'	animal		animal					janwa	Hindi जानवर jānwar 'animal'	动物		动物					janwa	Hindi जानवर jānwar 'animal'	動物		動物					यांवा	हिंदी जानवर	जानवर		जानवर					янва	Хинди जानवर jānwar 'животное'	животное		животное, существо					janwa	Híndi जानवर jānwar 'animal'	animal		animal					janwa	Hindi जानवर jānwar 'Tier'	Tier		Tier				
🙅	modifier	jatila	Marathi जटिल jaṭila 'complex, difficult'	difficult			complex, difficult				jatila	Marathi जटिल jaṭila 'complex, difficult'	困难的			复杂的、困难的				jatila	Marathi जटिल jaṭila 'complex, difficult'	困難的			複雜的、困難的				यातीला	मराठी जटिल 'जटिल'	जटिल			मुश्किल, जटिल, कठिन				ятила	Маратхи जटिल jaṭila 'сложный, трудный'	трудный			трудный, сложный				jatila	Marati जटिल jaṭila 'complexo, difícil'	difícil			complexo, difícil				jatila	Marathi जटिल jaṭila 'complex, difficult'	schwierig			komplex, schwierig			
🍋	modifier	jelo	English yellow	yellow			yellow, yellowish				jelo	English yellow	黄色的			黄色的、淡黄色的				jelo	English yellow	黃色的			黃色的、淡黃色的				येलो	अंग्रेज़ी yellow येलो 'पीला'	पीला			पीला				ело	Английский yellow 'желтый'	желтый			желтый, желтоватый				jelo	Inglês yellow 'amarelo'	amarelo			amarelo, amarelado				jelo	Englisch yellow	gelb			gelb, gelblich			
🏞️	noun	jesen	Mandarin 野生 yěshēng 'wild, undomesticated'	wild		wild, nature, forest, jungle					jesen	Mandarin 野生 yěshēng 'wild, undomesticated'	野外		野外、大自然、森林、丛林					jesen	Mandarin 野生 yěshēng 'wild, undomesticated'	野外		野外、大自然、森林、叢林					येसें	चीनी 野生 येशेंग 'जंगली'	जंगल		जंगल, कुदरत, वन					есэн	Китайский 野生 yěshēng 'дикий, неприрученный'	естесственный		природа, лес	дикий, естесственный, натуральный				jesen	Mandarim 野生 yěshēng 'selvagem, não domesticado'	selva		selva, natureza, floresta, mato					jesen	Mandarin 野生 yěshēng 'wild, undomesticated'	Wildnis		Wildniss, Natur, Wald, Dschungel				
👜	verb	jo	Mandarin 有 yǒu ‘have’	have	to have, to carry, to contain, to hold	possession					jo	Mandarin 有 yǒu ‘have’	拥有	拥有、携带、包含、持有	占有物					jo	Mandarin 有 yǒu ‘have’	擁有	擁有、攜帶、包含、持有	佔有物					यो	चीनी 有 योउ ‘के पास होना’	[के पास होना]	[के पास होना], पकड़ना	[की चीज़]					ё	Китайский 有 yǒu ‘иметь’	иметь	иметь, нести, содержать, держать	владение, обладание					jo	Mandarim 有 yǒu ‘ter’	ter	ter, carregar, conter, segurar	posse					jo	Mandarin 有 yǒu ‘haben’	haben	haben, tragen, enthalten, halten	possession				
🪶	noun	jun	Turkish yün 'wool'	hair		hair, wool, fur, feather					jun	Turkish yün 'wool'	头发		头发、羊毛、毛皮、羽毛					jun	Turkish yün 'wool'	頭髮		頭髮、羊毛、毛皮、羽毛					यूं	तुर्की युन 'ऊन'	बाल		बाल, ऊन, फर, पंख 					юн	Турецкий yün 'шерсть'	волосы		волосы, шерсть, мех, перо					jun	Turco yün 'lã'	cabelo		cabelo, lã, pelo, pena					jun	Türkisch yün 'Wolle'	Haar		Haar, Wolle, Fell, Feder				
